Date,d15min,d30min,d45min,d1h,d2h,d3h,d4h,d6h,d8h,d12h,d24h
2013-08-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-08-09,59.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0
2013-08-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0
2013-08-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-08-12,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2013-08-13,29.0,49.0,65.0,78.0,109.0,109.0,109.0,109.0,111.0,111.0,113.0
2013-08-14,11.0,18.0,18.0,23.0,26.0,26.0,26.0,28.0,33.0,35.0,137.0
2013-08-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0
2013-08-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-08-17,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2013-08-18,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,6.0
2013-08-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
2013-08-20,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0
2013-08-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2013-08-22,14.0,21.0,23.0,23.0,33.0,35.0,45.0,45.0,50.0,68.0,68.0
2013-08-25,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
2013-08-26,9.0,17.0,22.0,26.0,37.0,41.0,41.0,41.0,41.0,41.0,41.0
2013-08-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0
2013-08-28,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0
2013-08-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,42.0,42.0
2013-08-30,84.0,99.0,103.0,106.0,106.0,106.0,168.0,176.0,176.0,176.0,176.0
2013-08-31,0.0,0.0,0.0,2.0,8.0,51.0,70.0,89.0,176.0,176.0,176.0
2013-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-09-02,53.0,93.0,96.0,96.0,100.0,100.0,100.0,100.0,100.0,100.0,196.0
2013-09-03,0.0,0.0,0.0,0.0,0.0,0.0,14.0,100.0,100.0,100.0,196.0
2013-09-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-09-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-09-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-09-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-09-08,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2013-09-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
2013-09-10,8.0,11.0,11.0,11.0,15.0,15.0,15.0,15.0,15.0,15.0,21.0
2013-09-11,49.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,59.0,59.0,74.0
2013-09-12,54.0,66.0,78.0,87.0,116.0,134.0,186.0,240.0,307.0,323.0,323.0
2013-09-13,14.0,20.0,25.0,28.0,32.0,32.0,32.0,32.0,32.0,32.0,319.0
2013-09-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,32.0,32.0,32.0
2013-09-15,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2013-09-16,36.0,57.0,66.0,71.0,84.0,91.0,99.0,112.0,114.0,114.0,114.0
2013-09-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.0
2013-09-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-09-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-09-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-09-21,7.0,13.0,19.0,25.0,49.0,68.0,82.0,84.0,84.0,84.0,84.0
2013-09-22,15.0,27.0,35.0,41.0,58.0,60.0,75.0,99.0,143.0,159.0,161.0
2013-09-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0
2013-09-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-09-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-09-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-09-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-09-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-09-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-09-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-10-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-10-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-10-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-10-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-10-06,12.0,18.0,25.0,29.0,48.0,51.0,54.0,54.0,54.0,54.0,54.0
2013-10-07,26.0,30.0,40.0,50.0,82.0,114.0,126.0,129.0,129.0,129.0,132.0
2013-10-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,129.0,129.0
2013-10-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-10-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-10-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-10-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-10-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-10-14,10.0,13.0,13.0,16.0,23.0,30.0,30.0,32.0,32.0,32.0,32.0
2013-10-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0
2013-10-16,4.0,7.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
2013-10-17,27.0,45.0,65.0,83.0,105.0,109.0,113.0,113.0,118.0,122.0,122.0
2013-10-18,17.0,27.0,32.0,32.0,35.0,37.0,40.0,42.0,44.0,50.0,108.0
2013-10-19,9.0,13.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,50.0
